job_title,job_company,job_summary,job_location,job_salary,job_posting_date,today,job_url
Dot Net Developer,Sampark Infoways,"Working knowledge of HTML5, CSS 3, Bootstrap 4, JQuery, Ajax.
Experience of complex and large web applications.
Expected Start Date: 1/3/2021.","Raipur, Chhattisgarh","₹15,000 - ₹35,000 a month",1 day ago,2021-02-18,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CIu5ASHozF50MYyqTf2iIygtfc-JtAURqf_ANtNClOmASjtwR6LzlAcvzNyyfoR_4Q2ofSSEWHr8u85rd5IRPaspIdTMwnnpqbY82Dyt3sgL5jzBbuEIl2KvfmZ6RFHUD-SghT9zATkglgn5tpGqs9cA5xu_WbFLcQkt34wIpKWmICn3C8VUHDDHH02s6EIK2Ef_BqY4zeMvlwO9cbr1Rxqo5SAQ4PL08BlLwOVx1arHi5PS5gLC6slSEM5IQGfotkLjCim2SVPx3AYJU8ORijj73NZ8S4NA1yNr4JoBUpoja92MGiIsRfkoNzeQlFle3yQ5mN8XtpHN2t30_mKw_gkWZ71kQJmzoUuMdnsyl_5OafWZwwt_1jrytfUO9ZjaynWmRUrzHJ3Rd0WP9Okik1EhuvU82-InMbiBdzp5V7uTz2z6MUwulj0KflFPWhRgTKmnwb59M__OIRnjHwCicl&p=0&fvj=1&vjs=3
Senior Software Developer,TellZen,"You should also have great analytical skills and the ability to handle complex, modular software development in a collaborative remote team-based environment.",India,"₹8,00,000 a year",27 days ago,2021-02-18,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRVUehG3Pdt0Ss67Sv1I7hDaWM5L6kOOBZhab6nuogf3RYWJfW-fEv_yH831zUzkBnkatNK0ukkPk5o-ky5B1XxhH_E1DdiaaIkaNFouOq3vgunBJ03YpoqQVA85y9E0O4bBsulfmh1gG86EVwd8i-ywZbRAN9vXI2CGca93bB2IcZwJut26B1nhYdgmXI0grEhO0MZKWVbUlT9Ch-4YCPWHDRj1RIWgJFrG-Bp9nCqBGwxNq4KNOswRVY-ZQRCdYEKdAyUSRCKIUliFAXgJC85y_KLv0w7zKCQfll9zRoYEbrR3Dx0WD2NKZTdqbAuXEoFO4iONNTjrtGsLJu7iJk4Olr0B8Kvzu6WXg7Dc1rLtklOYVikZ34VzCe4GSsw6H0PoPdbAbE5pOipQqc_d2PcU77FplNi7ijlKq2OXytAj4XlFrUl8cew6SrmNTMHD9WLlDSv6S_CuiLr1CoZBgq&p=1&fvj=1&vjs=3
Software Engineer,WELLS FARGO BANK,"The individual will be a hands-on person and will also play an individual contributor towards application deliverables and responsible to drive technical teams,…",India,,Today,2021-02-18,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtt0Plp8naQ2M8wkdRZoqGb-eYTTfweW5zT7gZ0F4Uq0FF3O5wAtPS6MHiYmTfr6P-5LTj9IJU-b70hYISVonRCtaWZxqbgR0gTSSqFBzNZocbfZMYZEn59wjvFt6rr2uZtcTEmj4exR0O1HWA_NFxLum1EOPcruNWc5SBIzsVo2OkPVQWylXv-BvUTokePswXT4uqY9rz0_rzdEjJ3ieNHXhKQJ4FnSKaPFEsgKN0xN2wDKU1NRyB1gjmVAK7yIbk8WRTEqti0kFee5jQHvxTi0aVKK5bPfI9vEhhTUgQOcX_0Ol-rgRQUtOHp117Y4lyDvyfu9o6NuoAGlXCZOW1LgtEcYtskgZ8JkGvm8_BD3Nel4JfCtajd9-WgYR3FJlmvlffwHjWNmPI_m-mubp5LR02MTBNwo3wBGAvzp6XeXSF1wvC02Vo5NK_jHmuiTm7Nc45OFCgEbFpgVw6IjWd0WkiGoYAskg3QKEIXjO314SDEJa0frxhdk3KzODMP20ScduVJXy0rBdhLrxlRulwqoMpQW4YUe_sVBIUcrhe60G-iZjKVHrHBi2w-nSduOJ7qzfDja8cjaAPvnTaz9Ft-odXpjvyVkjvw==&p=2&fvj=0&vjs=3
.Net Developer,Atom CTO,Well ask you to complete an offline coding challenge (~4 hours of effort) which we’ll ask you to present to use during an interview.,India,,30+ days ago,2021-02-18,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CC3oFr_DQNTczx-lJIOI-g0wX352xPAE6M6fbMiOgTkWuOZ8tgAy6gqoGp-79NmbkWS9LzA_A0qEFbcTzdePVWh2LzD4dy65IHnHRJYGmegYFI_pFAGt7Al58cxxDzMxFBPzQXgBxCbAD6ww7I97cUmjIk0NqnhA-Pd4sDy5pHpb18oEiB50wTDXWtkx1V4cFp_oVzoygPrF95mFmKHMofSKob-dCNZw-_dfLuQGs2hd8yjv0_MsRFotpln3EIhpKJCVp6qfJsBMTJ3Ai2nD7M962t80dB6QgY8ZpX87LgXEtB6NTuCY6RXIk30LMZ39KocUW3mOeFe6ASggKdwTLzgJ1TIxxjSkgw-8w_L1bxNMhhJMKmo1iPWVx8K-b59rgcfsTvI5ZZiJ1p8SaMswG-HmF05_nQOgcE-ZvamdPH5k3fJ9wl2DA4wIZe1PWhuq0JVHHX32vj8g==&p=3&fvj=1&vjs=3
Software Developer,AINETX Software Company,"Improving system quality by identifying issues and common patterns, and developing standard operating procedures.
Job Types: Full-time, Internship, Contract.","Raipur, Chhattisgarh","₹14,873 - ₹39,165 a month",26 days ago,2021-02-18,https://in.indeed.com/company/AINETX-Software-Company/jobs/Software-Developer-c4d7e4bca59c927b?fccid=3298effc741894fe&vjs=3
Java/J2EE Developer,"KSAP Technologies, Inc.","Software development: 3 years (Required).
They will be involved in all aspects of software delivery including analysis, requirements gathering, design,…","Raipur, Chhattisgarh","₹50,000 - ₹1,00,000 a month",19 days ago,2021-02-18,"https://in.indeed.com/rc/clk?cmp=KSAP-Technologies,-Inc.&ti=Java%2Fj2ee+Developer&jk=a7a683fc0b132048&fccid=88d078a1538fe888&vjs=3"
Full Stack Developer,EV Digital Technologies,"Experience in developing mobile app using Xamarin, Flutter is an added advantage.
As a Full Stack Developer, you will develop applications in a very passionate…","Raipur, Chhattisgarh","₹10,000 - ₹50,000 a month",12 days ago,2021-02-18,https://in.indeed.com/company/Ev-Digital-Technology/jobs/Full-Stack-Developer-78ea28fd2cb2e837?fccid=cfec400f26d55aa7&vjs=3
"D2k Developer, PL SQL Developer",infomatic technologies,"Software development: 1 year (Required).
D2k Developer/Oracle Developer for Raipur Location.
Application Deadline: 28/2/2021.
Expected Start Date: 25/2/2021.","Raipur, Chhattisgarh","₹8,000 - ₹30,000 a month",1 day ago,2021-02-18,"https://in.indeed.com/company/Softlife-Technologies-Pvt.-Ltd.-Chhatarpur-Ext,-New-Delhi/jobs/D-Developer-cb8d550e83c7bd10?fccid=4f4ec290bff53ebc&vjs=3"
Web Designer/Developer,JAI INFOWAY PRIVATE LIMITED,"The job entails working on our web sites, logo, branding, marketing materials, social media, graphic design, and other related job duties.","Raipur, Chhattisgarh","₹20,000 - ₹50,000 a month",11 days ago,2021-02-18,https://in.indeed.com/company/JAI-INFOWAY-PRIVATE-LIMITED/jobs/Web-Designer-Developer-1abf8828d3897cd4?fccid=00beaa6e654f85f7&vjs=3
SOFTWARE ENGINEERS,Computer Engineer,"Absolutely clear core concepts of java; must have developed at least 2 mid sized projects or products in java, in role of the middle and back end tiers.","Raipur, Chhattisgarh","₹16,000 - ₹23,000 a month",30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=de13768ad029ecda&fccid=395357bb8ee55570&vjs=3
